step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
9,PAYMENT,2039.48,C723148748,22034,19994.52,M460746052,0,0,No,0
8,TRANSFER,892249.81,C1652255572,62631.05,0,C1334669858,74,1017900.47,No,0
136,CASH_IN,16884.64,C1114852998,1089686.94,1106571.58,C670546811,216143.15,199258.51,No,0
178,CASH_IN,216968.39,C1114282962,2586334.58,2803302.98,C1892155959,2240779.83,2023811.44,No,0
306,CASH_OUT,68307.15,C696350859,99038,30730.85,C1210517904,0,68307.15,No,0
335,CASH_OUT,188685.88,C1834057002,32047.99,0,C1661143646,782048.24,970734.11,No,0
264,PAYMENT,11401.35,C855531846,4890.06,0,M637400727,0,0,No,0
403,CASH_IN,2683.28,C104766726,68499,71182.28,C1945988096,0,0,No,0
202,CASH_OUT,488335.94,C1276009375,124071,0,C206154062,11067,499402.94,No,0
626,CASH_OUT,55740.39,C931224089,55740.39,0,C1157817503,1659141.34,1714881.73,Si,0
396,PAYMENT,19455.32,C1932909534,49843,30387.68,M1942833508,0,0,No,0
276,PAYMENT,4572.22,C14162893,0,0,M1269230607,0,0,No,0
136,CASH_OUT,153475.85,C681840472,0,0,C1934242294,1449058.36,1602534.21,No,0
688,CASH_IN,3394.02,C57486727,11056,14450.02,C1921956586,1199437.48,1196043.46,No,0
235,CASH_OUT,80786.57,C1714373404,7123,0,C1220996465,0,80786.57,No,0
302,CASH_IN,63582.24,C1901006569,3557081.28,3620663.52,C148244826,857025.63,793443.39,No,0
278,CASH_IN,245817.24,C220260319,122,245939.24,C1504190551,23776.72,0,No,0
401,PAYMENT,25734.93,C2039125433,16108,0,M1870642756,0,0,No,0
298,PAYMENT,8059.71,C1322344282,378979.55,370919.83,M480284803,0,0,No,0
140,PAYMENT,3261.82,C1052225758,157883.78,154621.95,M233369334,0,0,No,0
304,CASH_IN,253248.03,C1103637360,19139492.57,19392740.6,C1235148349,469592.07,216344.03,No,0
355,CASH_OUT,883366.69,C149173089,883366.69,0,C504582825,2029536.87,2912903.56,Si,0
136,CASH_IN,481103.65,C1894703817,75588,556691.65,C376237491,343545.84,0,No,0
177,PAYMENT,4533.27,C860250139,0,0,M82197737,0,0,No,0
180,PAYMENT,20297.44,C2139203465,258592.14,238294.7,M478053898,0,0,No,0
260,PAYMENT,11465.94,C784601933,34179,22713.06,M668797189,0,0,No,0
178,CASH_OUT,85017.99,C1219414151,85017.99,0,C1622163185,0,85017.99,Si,0
326,CASH_IN,383182.41,C1411043972,64960,448142.41,C1605523642,587252.65,204070.24,No,0
401,PAYMENT,109.05,C1171842341,78405.87,78296.82,M1395127892,0,0,No,0
138,TRANSFER,24064.88,C271295727,0,0,C1685232703,1747925.19,1771990.07,No,0
520,TRANSFER,2734160.27,C2011400661,0,0,C1067196911,4608000.69,7342160.95,No,0
333,CASH_OUT,105279.52,C1151889993,0,0,C598346567,344996.31,450275.83,No,0
211,CASH_OUT,106785.59,C1906410348,79833,0,C437162902,4280986.39,4387771.98,No,0
402,PAYMENT,25340.03,C1424008948,0,0,M2119038667,0,0,No,0
228,TRANSFER,96110.58,C203344208,21316,0,C884957302,0,96110.58,No,0
328,TRANSFER,1249632.29,C1057827875,21165,0,C827837991,538291.4,1787923.69,No,0
308,PAYMENT,4860.33,C1839854089,2626,0,M246317125,0,0,No,0
329,CASH_OUT,439668.06,C1704002815,29267,0,C512087370,0,439668.06,No,0
185,CASH_IN,54035.87,C107669327,1341072.52,1395108.39,C749775748,60632.92,6597.05,No,0
240,TRANSFER,103949.5,C82400750,103949.5,0,C1711150495,0,0,Si,0
163,CASH_OUT,163654.69,C1848368813,11621,0,C799858765,1028397.76,1192052.45,No,0
399,CASH_OUT,18188.96,C1077576852,57509.13,39320.18,C1897761057,64033.13,82222.09,No,0
350,CASH_OUT,244081.79,C1756857014,0,0,C1623279288,2100606.13,2344687.92,No,0
40,PAYMENT,8483.22,C791352034,263835,255351.78,M1584716134,0,0,No,0
187,PAYMENT,12119.42,C966195452,11598,0,M1244151977,0,0,No,0
205,CASH_OUT,288780.54,C999493952,366081,77300.46,C1765752791,57216.79,345997.33,No,0
41,CASH_OUT,328954.51,C138121607,0,0,C712127935,3508995.43,3837949.94,No,0
405,TRANSFER,1004332.55,C1894837232,0,0,C161873580,1937432.08,2941764.64,No,0
564,CASH_OUT,320977.49,C987967282,320977.49,0,C94618150,0,320977.49,Si,0
585,CASH_OUT,99510.54,C996162846,0,0,C745616204,1079951.15,1179461.69,No,0
542,CASH_OUT,65018.24,C542338470,0,0,C1813365900,2319119.07,2384137.31,No,0
162,CASH_OUT,202213.34,C598684109,75636.02,0,C1516114502,0,202213.34,No,0
478,CASH_IN,19.6,C1251566922,75664,75683.6,C1930650140,4358778.27,4358758.67,No,0
11,CASH_OUT,200637.89,C872960280,0,0,C705480294,660560.93,861198.83,No,0
155,CASH_OUT,275808.48,C595818179,16679.06,0,C590035788,1285539.03,1561347.51,No,0
402,TRANSFER,94833.5,C935624024,0,0,C536233863,938715.56,1033549.06,No,0
305,CASH_OUT,15590.05,C1235908897,30427,14836.95,C1335363574,0,15590.05,No,0
229,CASH_OUT,182400.84,C301553225,0,0,C1289810450,1155998.88,1338399.72,No,0
305,TRANSFER,1135577.62,C96521217,0,0,C1607605804,5278373.18,6413950.81,No,0
324,PAYMENT,11911.69,C85056326,0,0,M1787796184,0,0,No,0
39,CASH_IN,81516.96,C1348491254,39659,121175.96,C213991548,0,0,No,0
41,CASH_OUT,71189.84,C1038825770,0,0,C842189516,485390.81,556580.65,No,0
44,CASH_OUT,44571.94,C330892703,44571.94,0,C648682751,11984,0,Si,0
403,PAYMENT,4415.93,C1842159783,31497,27081.07,M516582562,0,0,No,0
183,CASH_IN,268214.04,C891643746,60325,328539.04,C1154758038,0,0,No,0
161,CASH_OUT,1533798.48,C1966768785,1533798.48,0,C1610140948,419107.42,1952905.9,Si,0
177,PAYMENT,13536.5,C921292381,0,0,M1490245121,0,0,No,0
236,CASH_OUT,33548.83,C1767973759,99863,66314.17,C578887916,0,33548.83,No,0
228,CASH_IN,463894.29,C1875418433,19913,483807.29,C1931980497,483347.5,19453.21,No,0
179,CASH_OUT,141906.73,C1987727058,0,0,C15362361,608609.7,750516.42,No,0
34,CASH_OUT,107083.78,C478317698,0,0,C678152951,5369291.02,5476374.8,No,0
324,CASH_OUT,24655.82,C701736676,20964,0,C886582849,0,24655.82,No,0
300,CASH_OUT,28156.46,C132201820,22442,0,C150538081,3996007.42,4024163.88,No,0
226,CASH_IN,157120.96,C1536202508,153923,311043.96,C791039564,242528.29,85407.33,No,0
16,CASH_OUT,432394.83,C1657748007,372777,0,C279509371,11839.73,444234.56,No,0
135,PAYMENT,132.15,C611493204,500068.01,499935.86,M2033637128,0,0,No,0
136,CASH_IN,122055,C1100372272,1688197.06,1810252.06,C790657653,655710.95,533655.94,No,0
395,CASH_OUT,129005,C1950082649,0,0,C1639103375,416365.18,545370.18,No,0
373,CASH_OUT,120527.86,C1935861881,30088,0,C880920787,69823.46,190351.32,No,0
399,CASH_OUT,412398.84,C721998578,57347,0,C1685053353,290367.69,702766.53,No,0
186,CASH_OUT,2507.18,C256577301,0,0,C802498348,1415757.28,1418264.47,No,0
134,CASH_OUT,313232.44,C729030675,0,0,C1178822881,1422192.42,1735424.86,No,0
347,CASH_OUT,188516.85,C412841896,0,0,C1924985445,1028247.67,1216764.53,No,0
614,CASH_OUT,309061.5,C934745802,309061.5,0,C952194929,218006.55,527068.05,Si,0
19,PAYMENT,7587.46,C930123064,21058,13470.54,M1464784127,0,0,No,0
8,PAYMENT,33857.33,C461186116,0,0,M1552952509,0,0,No,0
374,PAYMENT,14120.66,C98382153,0,0,M1308881406,0,0,No,0
258,CASH_OUT,243558.73,C1523657121,0,0,C1884714251,2004201.22,2247759.96,No,0
181,CASH_OUT,278780.8,C616013818,36647.79,0,C1302711400,449015.43,727796.23,No,0
